Generated by data.opendatascotland.org,2014-02-20T13:59:58+00:00
http://data.opendatascotland.org/data/simd/education-rank,"Scottish Index of Multiple Deprivation, Education Rank"

,,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2012
http://statistics.data.gov.uk/id/statistical-geography/S01000061,Data Zone S01000061,6211,6284,6153,6303
http://statistics.data.gov.uk/id/statistical-geography/S01000062,Data Zone S01000062,5935,6032,5719,6086
http://statistics.data.gov.uk/id/statistical-geography/S01000063,Data Zone S01000063,6299,6150,6366,6202
http://statistics.data.gov.uk/id/statistical-geography/S01000064,Data Zone S01000064,2497,3255,3441,3834
http://statistics.data.gov.uk/id/statistical-geography/S01000065,Data Zone S01000065,5615,5707,5262,4151
http://statistics.data.gov.uk/id/statistical-geography/S01000066,Data Zone S01000066,2298,3317,2947,1681
http://statistics.data.gov.uk/id/statistical-geography/S01000067,Data Zone S01000067,5794,6145,5099,6157
http://statistics.data.gov.uk/id/statistical-geography/S01000068,Data Zone S01000068,6006,6234,6326,6225
http://statistics.data.gov.uk/id/statistical-geography/S01000069,Data Zone S01000069,1321,2165,1090,1014
http://statistics.data.gov.uk/id/statistical-geography/S01000070,Data Zone S01000070,499,2029,1936,1895
http://statistics.data.gov.uk/id/statistical-geography/S01000071,Data Zone S01000071,810,1482,772,1183
http://statistics.data.gov.uk/id/statistical-geography/S01000072,Data Zone S01000072,6278,5783,5230,4806
http://statistics.data.gov.uk/id/statistical-geography/S01000073,Data Zone S01000073,5997,6311,6125,6251
http://statistics.data.gov.uk/id/statistical-geography/S01000074,Data Zone S01000074,452,939,781,393
http://statistics.data.gov.uk/id/statistical-geography/S01000075,Data Zone S01000075,4290,3310,2835,4222
http://statistics.data.gov.uk/id/statistical-geography/S01000076,Data Zone S01000076,6406,6490,6485,6417
http://statistics.data.gov.uk/id/statistical-geography/S01000077,Data Zone S01000077,6376,6154,6165,6440
http://statistics.data.gov.uk/id/statistical-geography/S01000078,Data Zone S01000078,2086,2881,2500,2812
http://statistics.data.gov.uk/id/statistical-geography/S01000079,Data Zone S01000079,6249,5780,5984,5930
http://statistics.data.gov.uk/id/statistical-geography/S01000080,Data Zone S01000080,5441,5436,5157,5441
http://statistics.data.gov.uk/id/statistical-geography/S01000081,Data Zone S01000081,6429,6475,6445,6325
http://statistics.data.gov.uk/id/statistical-geography/S01000082,Data Zone S01000082,1563,1843,1465,696
http://statistics.data.gov.uk/id/statistical-geography/S01000083,Data Zone S01000083,6023,6122,6232,6221
http://statistics.data.gov.uk/id/statistical-geography/S01000084,Data Zone S01000084,2319,2491,2032,726
http://statistics.data.gov.uk/id/statistical-geography/S01000085,Data Zone S01000085,3139,5292,2997,2337
http://statistics.data.gov.uk/id/statistical-geography/S01000086,Data Zone S01000086,6228,5900,5903,5370
http://statistics.data.gov.uk/id/statistical-geography/S01000087,Data Zone S01000087,6082,5627,6244,5965
http://statistics.data.gov.uk/id/statistical-geography/S01000088,Data Zone S01000088,4265,4169,5094,4915
http://statistics.data.gov.uk/id/statistical-geography/S01000089,Data Zone S01000089,6366,6482,6497,6403
http://statistics.data.gov.uk/id/statistical-geography/S01000090,Data Zone S01000090,6391,6301,6393,6294
http://statistics.data.gov.uk/id/statistical-geography/S01000091,Data Zone S01000091,4297,4404,4307,4017
http://statistics.data.gov.uk/id/statistical-geography/S01000092,Data Zone S01000092,4592,4645,5900,4526
http://statistics.data.gov.uk/id/statistical-geography/S01000093,Data Zone S01000093,3304,4092,4693,3970
http://statistics.data.gov.uk/id/statistical-geography/S01000094,Data Zone S01000094,3838,1167,2818,3366
http://statistics.data.gov.uk/id/statistical-geography/S01000095,Data Zone S01000095,5775,6263,6011,5968
http://statistics.data.gov.uk/id/statistical-geography/S01000096,Data Zone S01000096,4575,4383,3888,3341
http://statistics.data.gov.uk/id/statistical-geography/S01000097,Data Zone S01000097,6375,6449,6356,6073
http://statistics.data.gov.uk/id/statistical-geography/S01000098,Data Zone S01000098,3003,2087,1264,2376
http://statistics.data.gov.uk/id/statistical-geography/S01000099,Data Zone S01000099,6374,6458,6186,5966
http://statistics.data.gov.uk/id/statistical-geography/S01000100,Data Zone S01000100,3964,4081,4718,4029
http://statistics.data.gov.uk/id/statistical-geography/S01000101,Data Zone S01000101,6480,6387,6320,6209
http://statistics.data.gov.uk/id/statistical-geography/S01000102,Data Zone S01000102,2300,2009,2664,2204
http://statistics.data.gov.uk/id/statistical-geography/S01000103,Data Zone S01000103,3689,4854,4519,5439
http://statistics.data.gov.uk/id/statistical-geography/S01000104,Data Zone S01000104,6455,6463,6460,6450
http://statistics.data.gov.uk/id/statistical-geography/S01000105,Data Zone S01000105,6247,6336,5834,5678
http://statistics.data.gov.uk/id/statistical-geography/S01000106,Data Zone S01000106,6501,6488,6494,6500
http://statistics.data.gov.uk/id/statistical-geography/S01000107,Data Zone S01000107,1777,1956,1518,2526
