Generated by data.opendatascotland.org,2014-02-20T14:00:24+00:00
http://data.opendatascotland.org/data/simd/income-rank,"Scottish Index of Multiple Deprivation, Income Rank"

,,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2012
http://statistics.data.gov.uk/id/statistical-geography/S01000061,Data Zone S01000061,6397,6183,6395,6358
http://statistics.data.gov.uk/id/statistical-geography/S01000062,Data Zone S01000062,6133,5966,6054,5778
http://statistics.data.gov.uk/id/statistical-geography/S01000063,Data Zone S01000063,5576,5623,5628,6263
http://statistics.data.gov.uk/id/statistical-geography/S01000064,Data Zone S01000064,3576,2823,3699,3863
http://statistics.data.gov.uk/id/statistical-geography/S01000065,Data Zone S01000065,5200,4908,4976,4483
http://statistics.data.gov.uk/id/statistical-geography/S01000066,Data Zone S01000066,2969,2881,2856,3727
http://statistics.data.gov.uk/id/statistical-geography/S01000067,Data Zone S01000067,5370,5289,5497,5369
http://statistics.data.gov.uk/id/statistical-geography/S01000068,Data Zone S01000068,5623,5387,5855,5624
http://statistics.data.gov.uk/id/statistical-geography/S01000069,Data Zone S01000069,1306,1101,1339,1495
http://statistics.data.gov.uk/id/statistical-geography/S01000070,Data Zone S01000070,1377,1704,1964,1920
http://statistics.data.gov.uk/id/statistical-geography/S01000071,Data Zone S01000071,604,405,798,1223
http://statistics.data.gov.uk/id/statistical-geography/S01000072,Data Zone S01000072,4347,3634,4350,4053
http://statistics.data.gov.uk/id/statistical-geography/S01000073,Data Zone S01000073,6023,5899,6227,5752
http://statistics.data.gov.uk/id/statistical-geography/S01000074,Data Zone S01000074,436,406,306,1003
http://statistics.data.gov.uk/id/statistical-geography/S01000075,Data Zone S01000075,5453,5096,5493,5375
http://statistics.data.gov.uk/id/statistical-geography/S01000076,Data Zone S01000076,6500,6437,6490,6353
http://statistics.data.gov.uk/id/statistical-geography/S01000077,Data Zone S01000077,5535,4816,5750,6106
http://statistics.data.gov.uk/id/statistical-geography/S01000078,Data Zone S01000078,1952,1689,2631,2782
http://statistics.data.gov.uk/id/statistical-geography/S01000079,Data Zone S01000079,5334,5317,5899,6399
http://statistics.data.gov.uk/id/statistical-geography/S01000080,Data Zone S01000080,5335,4963,5188,4887
http://statistics.data.gov.uk/id/statistical-geography/S01000081,Data Zone S01000081,6204,6328,6419,6418
http://statistics.data.gov.uk/id/statistical-geography/S01000082,Data Zone S01000082,1329,1217,1618,1460
http://statistics.data.gov.uk/id/statistical-geography/S01000083,Data Zone S01000083,5888,6190,6373,6431
http://statistics.data.gov.uk/id/statistical-geography/S01000084,Data Zone S01000084,2344,1522,1781,2401
http://statistics.data.gov.uk/id/statistical-geography/S01000085,Data Zone S01000085,4257,3821,4763,4763
http://statistics.data.gov.uk/id/statistical-geography/S01000086,Data Zone S01000086,4953,5084,5710,5991
http://statistics.data.gov.uk/id/statistical-geography/S01000087,Data Zone S01000087,5565,6004,6413,6300
http://statistics.data.gov.uk/id/statistical-geography/S01000088,Data Zone S01000088,4075,4215,5276,5362
http://statistics.data.gov.uk/id/statistical-geography/S01000089,Data Zone S01000089,5686,5970,6412,6437
http://statistics.data.gov.uk/id/statistical-geography/S01000090,Data Zone S01000090,5287,5934,5969,5904
http://statistics.data.gov.uk/id/statistical-geography/S01000091,Data Zone S01000091,4115,3784,4501,4625
http://statistics.data.gov.uk/id/statistical-geography/S01000092,Data Zone S01000092,5566,5445,5805,5606
http://statistics.data.gov.uk/id/statistical-geography/S01000093,Data Zone S01000093,4552,3707,4587,4461
http://statistics.data.gov.uk/id/statistical-geography/S01000094,Data Zone S01000094,4355,4226,5066,5496
http://statistics.data.gov.uk/id/statistical-geography/S01000095,Data Zone S01000095,6015,5644,6080,5806
http://statistics.data.gov.uk/id/statistical-geography/S01000096,Data Zone S01000096,2584,2279,2751,2227
http://statistics.data.gov.uk/id/statistical-geography/S01000097,Data Zone S01000097,5951,5979,6408,6440
