Generated by data.opendatascotland.org,2014-02-20T14:00:02+00:00
http://data.opendatascotland.org/data/simd/employment-rank,"Scottish Index of Multiple Deprivation, Employment Rank"

,,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2012
http://statistics.data.gov.uk/id/statistical-geography/S01000060,Data Zone S01000060,463,73,250,269
http://statistics.data.gov.uk/id/statistical-geography/S01000061,Data Zone S01000061,6332,6241,6295,6385
http://statistics.data.gov.uk/id/statistical-geography/S01000062,Data Zone S01000062,6179,6329,6132,6146
http://statistics.data.gov.uk/id/statistical-geography/S01000063,Data Zone S01000063,6328,6230,6408,6317
http://statistics.data.gov.uk/id/statistical-geography/S01000064,Data Zone S01000064,4140,2822,3689,4162
http://statistics.data.gov.uk/id/statistical-geography/S01000065,Data Zone S01000065,4766,4163,4050,3893
http://statistics.data.gov.uk/id/statistical-geography/S01000066,Data Zone S01000066,2723,1717,1800,2352
http://statistics.data.gov.uk/id/statistical-geography/S01000067,Data Zone S01000067,5489,5064,5320,5401
http://statistics.data.gov.uk/id/statistical-geography/S01000068,Data Zone S01000068,6065,5671,6111,6324
http://statistics.data.gov.uk/id/statistical-geography/S01000069,Data Zone S01000069,1468,953,667,1647
http://statistics.data.gov.uk/id/statistical-geography/S01000070,Data Zone S01000070,2263,1307,2074,2075
http://statistics.data.gov.uk/id/statistical-geography/S01000071,Data Zone S01000071,1641,791,1070,1404
http://statistics.data.gov.uk/id/statistical-geography/S01000072,Data Zone S01000072,5233,4582,4174,4037
http://statistics.data.gov.uk/id/statistical-geography/S01000073,Data Zone S01000073,5428,5982,5625,6042
http://statistics.data.gov.uk/id/statistical-geography/S01000074,Data Zone S01000074,880,417,548,789
http://statistics.data.gov.uk/id/statistical-geography/S01000075,Data Zone S01000075,6122,4959,5830,5512
http://statistics.data.gov.uk/id/statistical-geography/S01000076,Data Zone S01000076,6242,6216,6482,6355
http://statistics.data.gov.uk/id/statistical-geography/S01000077,Data Zone S01000077,6166,4306,4917,5469
http://statistics.data.gov.uk/id/statistical-geography/S01000078,Data Zone S01000078,2104,1009,1371,1964
http://statistics.data.gov.uk/id/statistical-geography/S01000079,Data Zone S01000079,6272,5622,6400,6444
http://statistics.data.gov.uk/id/statistical-geography/S01000080,Data Zone S01000080,5743,5196,5525,5874
http://statistics.data.gov.uk/id/statistical-geography/S01000081,Data Zone S01000081,6391,6270,6293,6392
http://statistics.data.gov.uk/id/statistical-geography/S01000082,Data Zone S01000082,1939,1849,1909,2138
http://statistics.data.gov.uk/id/statistical-geography/S01000083,Data Zone S01000083,6395,6006,5884,6209
http://statistics.data.gov.uk/id/statistical-geography/S01000084,Data Zone S01000084,1947,1113,1211,1420
http://statistics.data.gov.uk/id/statistical-geography/S01000085,Data Zone S01000085,4461,4293,4671,4453
http://statistics.data.gov.uk/id/statistical-geography/S01000086,Data Zone S01000086,5965,5940,6103,6271
http://statistics.data.gov.uk/id/statistical-geography/S01000087,Data Zone S01000087,6267,6143,6256,6453
http://statistics.data.gov.uk/id/statistical-geography/S01000088,Data Zone S01000088,5502,5888,5775,5916
http://statistics.data.gov.uk/id/statistical-geography/S01000089,Data Zone S01000089,6299,6282,6470,6474
http://statistics.data.gov.uk/id/statistical-geography/S01000090,Data Zone S01000090,6291,6300,6107,6428
http://statistics.data.gov.uk/id/statistical-geography/S01000091,Data Zone S01000091,3949,4006,4205,4699
http://statistics.data.gov.uk/id/statistical-geography/S01000092,Data Zone S01000092,6043,5941,5878,5887
http://statistics.data.gov.uk/id/statistical-geography/S01000093,Data Zone S01000093,4788,3253,3873,4063
http://statistics.data.gov.uk/id/statistical-geography/S01000094,Data Zone S01000094,5579,5946,5869,5802
http://statistics.data.gov.uk/id/statistical-geography/S01000095,Data Zone S01000095,6072,5943,6176,6281
http://statistics.data.gov.uk/id/statistical-geography/S01000096,Data Zone S01000096,1886,1079,1053,1309
http://statistics.data.gov.uk/id/statistical-geography/S01000097,Data Zone S01000097,6284,6164,6472,6489
http://statistics.data.gov.uk/id/statistical-geography/S01000098,Data Zone S01000098,2010,1039,1735,2207
http://statistics.data.gov.uk/id/statistical-geography/S01000099,Data Zone S01000099,6364,6423,6337,6411
http://statistics.data.gov.uk/id/statistical-geography/S01000100,Data Zone S01000100,4222,1881,1587,3678
http://statistics.data.gov.uk/id/statistical-geography/S01000101,Data Zone S01000101,5993,5920,6460,6387
http://statistics.data.gov.uk/id/statistical-geography/S01000102,Data Zone S01000102,1877,954,1202,1822
http://statistics.data.gov.uk/id/statistical-geography/S01000103,Data Zone S01000103,6339,6081,6276,6466
http://statistics.data.gov.uk/id/statistical-geography/S01000104,Data Zone S01000104,6445,6463,6481,6484
http://statistics.data.gov.uk/id/statistical-geography/S01000105,Data Zone S01000105,5975,5672,5551,5875
http://statistics.data.gov.uk/id/statistical-geography/S01000106,Data Zone S01000106,6473,6461,6432,6482
http://statistics.data.gov.uk/id/statistical-geography/S01000107,Data Zone S01000107,3996,2963,3449,3806
http://statistics.data.gov.uk/id/statistical-geography/S01000108,Data Zone S01000108,2979,2230,2484,3020
http://statistics.data.gov.uk/id/statistical-geography/S01000109,Data Zone S01000109,3769,2972,3800,4055
http://statistics.data.gov.uk/id/statistical-geography/S01000110,Data Zone S01000110,4414,5037,4997,4941
http://statistics.data.gov.uk/id/statistical-geography/S01000111,Data Zone S01000111,6044,6158,6241,5988
http://statistics.data.gov.uk/id/statistical-geography/S01000112,Data Zone S01000112,2770,2863,2981,3143
http://statistics.data.gov.uk/id/statistical-geography/S01000113,Data Zone S01000113,6407,6174,6239,6363
http://statistics.data.gov.uk/id/statistical-geography/S01000114,Data Zone S01000114,2181,1658,1517,2239
http://statistics.data.gov.uk/id/statistical-geography/S01000115,Data Zone S01000115,2373,1508,1838,2225
http://statistics.data.gov.uk/id/statistical-geography/S01000116,Data Zone S01000116,6186,6150,6275,6171
http://statistics.data.gov.uk/id/statistical-geography/S01000117,Data Zone S01000117,6209,6399,6247,6315
http://statistics.data.gov.uk/id/statistical-geography/S01000118,Data Zone S01000118,3232,3068,2732,3273
http://statistics.data.gov.uk/id/statistical-geography/S01000119,Data Zone S01000119,2527,2077,1783,2242
http://statistics.data.gov.uk/id/statistical-geography/S01000120,Data Zone S01000120,5148,5244,5370,5886
http://statistics.data.gov.uk/id/statistical-geography/S01000121,Data Zone S01000121,3034,2516,2365,2712
http://statistics.data.gov.uk/id/statistical-geography/S01000122,Data Zone S01000122,3461,2244,2286,1899
http://statistics.data.gov.uk/id/statistical-geography/S01000123,Data Zone S01000123,5506,5217,5493,5754
http://statistics.data.gov.uk/id/statistical-geography/S01000124,Data Zone S01000124,4834,4672,4857,5194
http://statistics.data.gov.uk/id/statistical-geography/S01000125,Data Zone S01000125,2421,2526,3749,3537
http://statistics.data.gov.uk/id/statistical-geography/S01000126,Data Zone S01000126,2219,1722,2119,2170
http://statistics.data.gov.uk/id/statistical-geography/S01000127,Data Zone S01000127,6485,6415,6370,6386
http://statistics.data.gov.uk/id/statistical-geography/S01000128,Data Zone S01000128,4316,4341,5125,5153
http://statistics.data.gov.uk/id/statistical-geography/S01000129,Data Zone S01000129,6475,6334,6455,6424
http://statistics.data.gov.uk/id/statistical-geography/S01000130,Data Zone S01000130,3004,2810,3200,3532
http://statistics.data.gov.uk/id/statistical-geography/S01000131,Data Zone S01000131,6346,5947,6366,6152
http://statistics.data.gov.uk/id/statistical-geography/S01000132,Data Zone S01000132,5739,5221,5554,4825
http://statistics.data.gov.uk/id/statistical-geography/S01000133,Data Zone S01000133,3670,2533,2533,2171
http://statistics.data.gov.uk/id/statistical-geography/S01000134,Data Zone S01000134,2836,1943,1680,1460
http://statistics.data.gov.uk/id/statistical-geography/S01000135,Data Zone S01000135,1423,703,968,839
http://statistics.data.gov.uk/id/statistical-geography/S01000136,Data Zone S01000136,2718,2389,2662,2235
http://statistics.data.gov.uk/id/statistical-geography/S01000137,Data Zone S01000137,4760,4214,3776,4103
http://statistics.data.gov.uk/id/statistical-geography/S01000138,Data Zone S01000138,2499,4529,4186,4947
http://statistics.data.gov.uk/id/statistical-geography/S01000139,Data Zone S01000139,3395,2615,2390,2469
http://statistics.data.gov.uk/id/statistical-geography/S01000140,Data Zone S01000140,4517,3734,3541,3430
http://statistics.data.gov.uk/id/statistical-geography/S01000141,Data Zone S01000141,5768,6059,5978,6054
http://statistics.data.gov.uk/id/statistical-geography/S01000142,Data Zone S01000142,1977,1373,1461,1044
http://statistics.data.gov.uk/id/statistical-geography/S01000143,Data Zone S01000143,6349,6296,6334,6459
http://statistics.data.gov.uk/id/statistical-geography/S01000144,Data Zone S01000144,4737,4941,5799,5118
http://statistics.data.gov.uk/id/statistical-geography/S01000145,Data Zone S01000145,2389,1841,1897,1411
http://statistics.data.gov.uk/id/statistical-geography/S01000146,Data Zone S01000146,1526,1680,1916,2206
http://statistics.data.gov.uk/id/statistical-geography/S01000147,Data Zone S01000147,2649,2241,2901,3545
http://statistics.data.gov.uk/id/statistical-geography/S01000148,Data Zone S01000148,1513,1352,365,514
http://statistics.data.gov.uk/id/statistical-geography/S01000149,Data Zone S01000149,3981,3217,4168,4163
http://statistics.data.gov.uk/id/statistical-geography/S01000150,Data Zone S01000150,2900,2220,2052,2745
http://statistics.data.gov.uk/id/statistical-geography/S01000151,Data Zone S01000151,1860,888,1132,1979
http://statistics.data.gov.uk/id/statistical-geography/S01000152,Data Zone S01000152,3472,2063,2807,3314
http://statistics.data.gov.uk/id/statistical-geography/S01000153,Data Zone S01000153,3117,1524,2434,3288
http://statistics.data.gov.uk/id/statistical-geography/S01000154,Data Zone S01000154,2585,2659,2472,2382
http://statistics.data.gov.uk/id/statistical-geography/S01000155,Data Zone S01000155,2771,2092,1639,1897
http://statistics.data.gov.uk/id/statistical-geography/S01000156,Data Zone S01000156,2659,2198,2401,3309
http://statistics.data.gov.uk/id/statistical-geography/S01000157,Data Zone S01000157,1245,870,873,1001
http://statistics.data.gov.uk/id/statistical-geography/S01000158,Data Zone S01000158,3438,2100,2778,2689
http://statistics.data.gov.uk/id/statistical-geography/S01000159,Data Zone S01000159,6469,6097,6073,6099
http://statistics.data.gov.uk/id/statistical-geography/S01000160,Data Zone S01000160,3469,3095,3355,2954
http://statistics.data.gov.uk/id/statistical-geography/S01000161,Data Zone S01000161,6231,6244,6346,6362
http://statistics.data.gov.uk/id/statistical-geography/S01000162,Data Zone S01000162,3436,2803,2717,2773
http://statistics.data.gov.uk/id/statistical-geography/S01000163,Data Zone S01000163,2916,1367,1529,1931
http://statistics.data.gov.uk/id/statistical-geography/S01000164,Data Zone S01000164,2670,3611,4363,4610
http://statistics.data.gov.uk/id/statistical-geography/S01000165,Data Zone S01000165,1424,1835,951,967
http://statistics.data.gov.uk/id/statistical-geography/S01000166,Data Zone S01000166,5339,5573,5825,6174
http://statistics.data.gov.uk/id/statistical-geography/S01000167,Data Zone S01000167,3095,2640,2908,3086
http://statistics.data.gov.uk/id/statistical-geography/S01000168,Data Zone S01000168,2950,2718,2460,2423
http://statistics.data.gov.uk/id/statistical-geography/S01000169,Data Zone S01000169,2521,2607,2215,2739
http://statistics.data.gov.uk/id/statistical-geography/S01000170,Data Zone S01000170,5381,5635,5765,6020
http://statistics.data.gov.uk/id/statistical-geography/S01000171,Data Zone S01000171,6456,6486,6170,6200
http://statistics.data.gov.uk/id/statistical-geography/S01000172,Data Zone S01000172,5452,5899,5932,5264
http://statistics.data.gov.uk/id/statistical-geography/S01000173,Data Zone S01000173,2627,2326,2067,2431
http://statistics.data.gov.uk/id/statistical-geography/S01000174,Data Zone S01000174,6470,6485,6422,6487
http://statistics.data.gov.uk/id/statistical-geography/S01000175,Data Zone S01000175,2943,2257,2665,3024
http://statistics.data.gov.uk/id/statistical-geography/S01000176,Data Zone S01000176,5591,4946,5413,6091
http://statistics.data.gov.uk/id/statistical-geography/S01000177,Data Zone S01000177,6089,6438,6428,6168
http://statistics.data.gov.uk/id/statistical-geography/S01000178,Data Zone S01000178,2853,1620,2214,2505
http://statistics.data.gov.uk/id/statistical-geography/S01000179,Data Zone S01000179,904,302,265,621
http://statistics.data.gov.uk/id/statistical-geography/S01000180,Data Zone S01000180,3085,2046,2026,2078
http://statistics.data.gov.uk/id/statistical-geography/S01000181,Data Zone S01000181,2111,971,1021,1245
