Generated by data.opendatascotland.org,2014-02-20T14:00:18+00:00
http://data.opendatascotland.org/data/simd/housing-rank,"Scottish Index of Multiple Deprivation, Housing Rank"

,,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2012
http://statistics.data.gov.uk/id/statistical-geography/S01000060,Data Zone S01000060,1676,1676,1676,1676
http://statistics.data.gov.uk/id/statistical-geography/S01000061,Data Zone S01000061,6273,6273,6273,6273
http://statistics.data.gov.uk/id/statistical-geography/S01000062,Data Zone S01000062,1799,1799,1799,1799
http://statistics.data.gov.uk/id/statistical-geography/S01000063,Data Zone S01000063,5102,5102,5102,5102
http://statistics.data.gov.uk/id/statistical-geography/S01000064,Data Zone S01000064,2057,2057,2057,2057
http://statistics.data.gov.uk/id/statistical-geography/S01000065,Data Zone S01000065,2087,2087,2087,2087
http://statistics.data.gov.uk/id/statistical-geography/S01000066,Data Zone S01000066,553,553,553,553
http://statistics.data.gov.uk/id/statistical-geography/S01000067,Data Zone S01000067,5301,5301,5301,5301
http://statistics.data.gov.uk/id/statistical-geography/S01000068,Data Zone S01000068,4702,4702,4702,4702
http://statistics.data.gov.uk/id/statistical-geography/S01000069,Data Zone S01000069,940,940,940,940
http://statistics.data.gov.uk/id/statistical-geography/S01000070,Data Zone S01000070,1795,1795,1795,1795
http://statistics.data.gov.uk/id/statistical-geography/S01000071,Data Zone S01000071,1221,1221,1221,1221
http://statistics.data.gov.uk/id/statistical-geography/S01000072,Data Zone S01000072,4797,4797,4797,4797
http://statistics.data.gov.uk/id/statistical-geography/S01000073,Data Zone S01000073,6272,6272,6272,6272
http://statistics.data.gov.uk/id/statistical-geography/S01000074,Data Zone S01000074,1199,1199,1199,1199
http://statistics.data.gov.uk/id/statistical-geography/S01000075,Data Zone S01000075,2310,2310,2310,2310
http://statistics.data.gov.uk/id/statistical-geography/S01000076,Data Zone S01000076,6418,6418,6418,6418
http://statistics.data.gov.uk/id/statistical-geography/S01000077,Data Zone S01000077,4738,4738,4738,4738
http://statistics.data.gov.uk/id/statistical-geography/S01000078,Data Zone S01000078,348,348,348,348
http://statistics.data.gov.uk/id/statistical-geography/S01000079,Data Zone S01000079,2448,2448,2448,2448
http://statistics.data.gov.uk/id/statistical-geography/S01000080,Data Zone S01000080,1314,1314,1314,1314
http://statistics.data.gov.uk/id/statistical-geography/S01000081,Data Zone S01000081,5843,5843,5843,5843
http://statistics.data.gov.uk/id/statistical-geography/S01000082,Data Zone S01000082,1504,1504,1504,1504
http://statistics.data.gov.uk/id/statistical-geography/S01000083,Data Zone S01000083,3021,3021,3021,3021
http://statistics.data.gov.uk/id/statistical-geography/S01000084,Data Zone S01000084,638,638,638,638
http://statistics.data.gov.uk/id/statistical-geography/S01000085,Data Zone S01000085,398,398,398,398
http://statistics.data.gov.uk/id/statistical-geography/S01000086,Data Zone S01000086,3489,3489,3489,3489
http://statistics.data.gov.uk/id/statistical-geography/S01000087,Data Zone S01000087,5647,5647,5647,5647
http://statistics.data.gov.uk/id/statistical-geography/S01000088,Data Zone S01000088,3358,3358,3358,3358
http://statistics.data.gov.uk/id/statistical-geography/S01000089,Data Zone S01000089,6259,6259,6259,6259
http://statistics.data.gov.uk/id/statistical-geography/S01000090,Data Zone S01000090,2595,2595,2595,2595
http://statistics.data.gov.uk/id/statistical-geography/S01000091,Data Zone S01000091,776,776,776,776
http://statistics.data.gov.uk/id/statistical-geography/S01000092,Data Zone S01000092,920,920,920,920
http://statistics.data.gov.uk/id/statistical-geography/S01000093,Data Zone S01000093,878,878,878,878
http://statistics.data.gov.uk/id/statistical-geography/S01000094,Data Zone S01000094,1656,1656,1656,1656
http://statistics.data.gov.uk/id/statistical-geography/S01000095,Data Zone S01000095,2102,2102,2102,2102
http://statistics.data.gov.uk/id/statistical-geography/S01000096,Data Zone S01000096,2471,2471,2471,2471
http://statistics.data.gov.uk/id/statistical-geography/S01000097,Data Zone S01000097,5397,5397,5397,5397
http://statistics.data.gov.uk/id/statistical-geography/S01000098,Data Zone S01000098,584,584,584,584
http://statistics.data.gov.uk/id/statistical-geography/S01000099,Data Zone S01000099,6444,6444,6444,6444
http://statistics.data.gov.uk/id/statistical-geography/S01000100,Data Zone S01000100,2110,2110,2110,2110
http://statistics.data.gov.uk/id/statistical-geography/S01000101,Data Zone S01000101,3560,3560,3560,3560
http://statistics.data.gov.uk/id/statistical-geography/S01000102,Data Zone S01000102,1129,1129,1129,1129
http://statistics.data.gov.uk/id/statistical-geography/S01000103,Data Zone S01000103,828,828,828,828
http://statistics.data.gov.uk/id/statistical-geography/S01000104,Data Zone S01000104,6315,6315,6315,6315
http://statistics.data.gov.uk/id/statistical-geography/S01000105,Data Zone S01000105,5760,5760,5760,5760
http://statistics.data.gov.uk/id/statistical-geography/S01000106,Data Zone S01000106,5750,5750,5750,5750
http://statistics.data.gov.uk/id/statistical-geography/S01000107,Data Zone S01000107,546,546,546,546
http://statistics.data.gov.uk/id/statistical-geography/S01000108,Data Zone S01000108,753,753,753,753
http://statistics.data.gov.uk/id/statistical-geography/S01000109,Data Zone S01000109,393,393,393,393
http://statistics.data.gov.uk/id/statistical-geography/S01000110,Data Zone S01000110,4308,4308,4308,4308
http://statistics.data.gov.uk/id/statistical-geography/S01000111,Data Zone S01000111,4644,4644,4644,4644
http://statistics.data.gov.uk/id/statistical-geography/S01000112,Data Zone S01000112,882,882,882,882
http://statistics.data.gov.uk/id/statistical-geography/S01000113,Data Zone S01000113,5693,5693,5693,5693
http://statistics.data.gov.uk/id/statistical-geography/S01000114,Data Zone S01000114,2102,2102,2102,2102
http://statistics.data.gov.uk/id/statistical-geography/S01000115,Data Zone S01000115,1601,1601,1601,1601
http://statistics.data.gov.uk/id/statistical-geography/S01000116,Data Zone S01000116,521,521,521,521
http://statistics.data.gov.uk/id/statistical-geography/S01000117,Data Zone S01000117,5629,5629,5629,5629
http://statistics.data.gov.uk/id/statistical-geography/S01000118,Data Zone S01000118,2142,2142,2142,2142
http://statistics.data.gov.uk/id/statistical-geography/S01000119,Data Zone S01000119,479,479,479,479
http://statistics.data.gov.uk/id/statistical-geography/S01000120,Data Zone S01000120,1480,1480,1480,1480
http://statistics.data.gov.uk/id/statistical-geography/S01000121,Data Zone S01000121,4333,4333,4333,4333
http://statistics.data.gov.uk/id/statistical-geography/S01000122,Data Zone S01000122,2447,2447,2447,2447
http://statistics.data.gov.uk/id/statistical-geography/S01000123,Data Zone S01000123,5381,5381,5381,5381
http://statistics.data.gov.uk/id/statistical-geography/S01000124,Data Zone S01000124,278,278,278,278
http://statistics.data.gov.uk/id/statistical-geography/S01000125,Data Zone S01000125,881,881,881,881
http://statistics.data.gov.uk/id/statistical-geography/S01000126,Data Zone S01000126,577,577,577,577
http://statistics.data.gov.uk/id/statistical-geography/S01000127,Data Zone S01000127,6321,6321,6321,6321
http://statistics.data.gov.uk/id/statistical-geography/S01000128,Data Zone S01000128,286,286,286,286
http://statistics.data.gov.uk/id/statistical-geography/S01000129,Data Zone S01000129,390,390,390,390
http://statistics.data.gov.uk/id/statistical-geography/S01000130,Data Zone S01000130,631,631,631,631
http://statistics.data.gov.uk/id/statistical-geography/S01000131,Data Zone S01000131,2013,2013,2013,2013
http://statistics.data.gov.uk/id/statistical-geography/S01000132,Data Zone S01000132,1225,1225,1225,1225
http://statistics.data.gov.uk/id/statistical-geography/S01000133,Data Zone S01000133,1928,1928,1928,1928
http://statistics.data.gov.uk/id/statistical-geography/S01000134,Data Zone S01000134,1476,1476,1476,1476
http://statistics.data.gov.uk/id/statistical-geography/S01000135,Data Zone S01000135,726,726,726,726
http://statistics.data.gov.uk/id/statistical-geography/S01000136,Data Zone S01000136,1724,1724,1724,1724
http://statistics.data.gov.uk/id/statistical-geography/S01000137,Data Zone S01000137,1280,1280,1280,1280
http://statistics.data.gov.uk/id/statistical-geography/S01000138,Data Zone S01000138,562,562,562,562
http://statistics.data.gov.uk/id/statistical-geography/S01000139,Data Zone S01000139,1265,1265,1265,1265
http://statistics.data.gov.uk/id/statistical-geography/S01000140,Data Zone S01000140,2283,2283,2283,2283
http://statistics.data.gov.uk/id/statistical-geography/S01000141,Data Zone S01000141,4106,4106,4106,4106
http://statistics.data.gov.uk/id/statistical-geography/S01000142,Data Zone S01000142,870,870,870,870
http://statistics.data.gov.uk/id/statistical-geography/S01000143,Data Zone S01000143,6433,6433,6433,6433
http://statistics.data.gov.uk/id/statistical-geography/S01000144,Data Zone S01000144,176,176,176,176
http://statistics.data.gov.uk/id/statistical-geography/S01000145,Data Zone S01000145,3301,3301,3301,3301
http://statistics.data.gov.uk/id/statistical-geography/S01000146,Data Zone S01000146,240,240,240,240
http://statistics.data.gov.uk/id/statistical-geography/S01000147,Data Zone S01000147,347,347,347,347
http://statistics.data.gov.uk/id/statistical-geography/S01000148,Data Zone S01000148,931,931,931,931
