"S01000201","1","S12000033"
"S01000202","1","S12000033"
"S01000203","1","S12000033"
"S01000204","2","S12000033"
"S01000205","1","S12000033"
"S01000206","2","S12000033"
"S01000207","1","S12000033"
"S01000208","2","S12000033"
"S01000209","2","S12000033"
"S01000210","1","S12000033"
"S01000211","1","S12000033"
"S01000212","2","S12000033"
"S01000213","1","S12000033"
"S01000214","2","S12000033"
"S01000215","2","S12000033"
"S01000216","1","S12000033"
"S01000217","1","S12000033"
"S01000218","2","S12000033"
"S01000219","1","S12000033"
"S01000220","2","S12000033"
"S01000221","1","S12000033"
"S01000222","2","S12000033"
"S01000223","2","S12000033"
"S01000224","2","S12000033"
"S01000225","2","S12000033"
"S01000226","2","S12000033"
"S01000227","2","S12000033"
"S01000228","2","S12000033"
"S01000229","2","S12000033"
"S01000230","2","S12000033"
"S01000231","2","S12000033"
"S01000232","2","S12000033"
"S01000233","2","S12000033"
"S01000234","2","S12000033"
"S01000235","2","S12000033"
"S01000236","2","S12000033"
"S01000237","2","S12000033"
"S01000238","2","S12000033"
"S01000239","2","S12000033"
"S01000240","2","S12000033"
"S01000241","2","S12000033"
"S01000242","2","S12000033"
"S01000243","2","S12000033"
"S01000244","2","S12000033"
"S01000245","2","S12000033"
"S01000246","2","S12000033"
"S01000247","2","S12000033"
"S01000248","2","S12000033"
"S01000249","2","S12000033"
"S01000250","2","S12000033"
"S01000251","2","S12000033"
"S01000252","2","S12000033"
"S01000253","2","S12000033"
"S01000254","2","S12000033"
"S01000255","2","S12000033"
"S01000256","2","S12000033"
"S01000257","2","S12000033"
"S01000258","2","S12000033"
"S01000259","2","S12000033"
"S01000260","2","S12000033"
"S01000261","2","S12000033"
"S01000262","2","S12000033"
"S01000263","2","S12000033"
"S01000264","2","S12000033"
"S01000265","2","S12000033"
"S01000266","2","S12000033"
"S01000267","2","S12000033"
"S01000268","71","S12000034"
"S01000269","71","S12000034"
"S01000270","71","S12000034"
"S01000271","71","S12000034"
"S01000272","71","S12000034"
"S01000273","71","S12000034"
"S01000274","71","S12000034"
"S01000275","71","S12000034"
"S01000276","71","S12000034"
"S01000277","71","S12000034"
"S01000278","71","S12000034"
"S01000279","71","S12000034"
"S01000280","71","S12000034"
"S01000281","71","S12000034"
"S01000282","71","S12000034"
"S01000283","71","S12000034"
"S01000284","71","S12000034"
"S01000285","71","S12000034"
"S01000286","71","S12000034"
"S01000287","71","S12000034"
"S01000288","71","S12000034"
"S01000289","71","S12000034"
"S01000290","71","S12000034"
"S01000291","71","S12000034"
"S01000292","71","S12000034"
"S01000293","71","S12000034"
"S01000294","71","S12000034"
"S01000295","71","S12000034"
"S01000296","71","S12000034"
"S01000297","71","S12000034"
"S01000298","71","S12000034"
"S01000299","71","S12000034"
"S01000300","71","S12000034"
"S01000301","71","S12000034"
"S01000302","71","S12000034"
"S01000303","71","S12000034"
"S01000304","71","S12000034"
"S01000305","71","S12000034"
"S01000306","71","S12000034"
"S01000307","71","S12000034"
"S01000308","71","S12000034"
"S01000309","71","S12000034"
"S01000310","71","S12000034"
"S01000311","71","S12000034"
"S01000312","71","S12000034"
"S01000313","71","S12000034"
"S01000314","71","S12000034"
"S01000315","71","S12000034"
"S01000316","71","S12000034"
"S01000317","71","S12000034"
"S01000318","71","S12000034"
"S01000319","71","S12000034"
"S01000320","71","S12000034"
"S01000321","71","S12000034"
"S01000322","71","S12000034"
"S01000323","71","S12000034"
"S01000324","71","S12000034"
"S01000325","71","S12000034"
"S01000326","71","S12000034"
"S01000327","71","S12000034"
"S01000328","71","S12000034"
"S01000329","71","S12000034"
"S01000330","71","S12000034"
"S01000331","71","S12000034"
"S01000332","71","S12000034"
"S01000333","71","S12000034"
"S01000334","71","S12000034"
"S01000335","71","S12000034"
"S01000336","71","S12000034"
"S01000337","71","S12000034"
"S01000338","71","S12000034"
"S01000339","71","S12000034"
"S01000340","71","S12000034"
"S01000341","71","S12000034"
"S01000342","71","S12000034"
"S01000343","71","S12000034"
"S01000344","71","S12000034"
"S01000345","71","S12000034"
"S01000346","71","S12000034"
"S01000347","71","S12000034"
"S01000348","71","S12000034"
"S01000349","71","S12000034"
"S01000350","71","S12000034"
"S01000351","71","S12000034"
"S01000352","71","S12000034"
"S01000353","71","S12000034"
