Generated by data.opendatascotland.org,2014-02-20T14:00:02+00:00
http://data.opendatascotland.org/data/simd/geographic-access-rank,"Scottish Index of Multiple Deprivation, Geographic Access Rank"

,,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2012
http://statistics.data.gov.uk/id/statistical-geography/S01000061,Data Zone S01000061,1460,1523,1532,1799
http://statistics.data.gov.uk/id/statistical-geography/S01000062,Data Zone S01000062,6081,5312,5323,4048
http://statistics.data.gov.uk/id/statistical-geography/S01000063,Data Zone S01000063,6095,5512,5381,3309
http://statistics.data.gov.uk/id/statistical-geography/S01000064,Data Zone S01000064,4751,5962,6107,5752
http://statistics.data.gov.uk/id/statistical-geography/S01000065,Data Zone S01000065,5674,5101,4933,4130
http://statistics.data.gov.uk/id/statistical-geography/S01000066,Data Zone S01000066,6174,5811,6280,5975
http://statistics.data.gov.uk/id/statistical-geography/S01000067,Data Zone S01000067,5738,2751,4290,5017
http://statistics.data.gov.uk/id/statistical-geography/S01000068,Data Zone S01000068,4959,5170,4894,2920
http://statistics.data.gov.uk/id/statistical-geography/S01000069,Data Zone S01000069,5259,6020,6195,5415
http://statistics.data.gov.uk/id/statistical-geography/S01000070,Data Zone S01000070,5241,4526,4041,4188
http://statistics.data.gov.uk/id/statistical-geography/S01000071,Data Zone S01000071,5490,5255,5192,4340
http://statistics.data.gov.uk/id/statistical-geography/S01000072,Data Zone S01000072,935,1047,1079,761
http://statistics.data.gov.uk/id/statistical-geography/S01000073,Data Zone S01000073,3849,2888,4386,4539
http://statistics.data.gov.uk/id/statistical-geography/S01000074,Data Zone S01000074,2093,2189,1645,1739
http://statistics.data.gov.uk/id/statistical-geography/S01000075,Data Zone S01000075,6197,6151,6066,5547
http://statistics.data.gov.uk/id/statistical-geography/S01000076,Data Zone S01000076,811,1208,1335,1243
http://statistics.data.gov.uk/id/statistical-geography/S01000077,Data Zone S01000077,6056,4922,4682,3191
http://statistics.data.gov.uk/id/statistical-geography/S01000078,Data Zone S01000078,6488,6363,6448,6447
http://statistics.data.gov.uk/id/statistical-geography/S01000079,Data Zone S01000079,5886,5501,5311,3369
http://statistics.data.gov.uk/id/statistical-geography/S01000080,Data Zone S01000080,6351,5946,6019,5735
http://statistics.data.gov.uk/id/statistical-geography/S01000081,Data Zone S01000081,4470,3432,3587,3504
http://statistics.data.gov.uk/id/statistical-geography/S01000082,Data Zone S01000082,3245,3204,2341,2495
http://statistics.data.gov.uk/id/statistical-geography/S01000083,Data Zone S01000083,6334,5666,5535,5003
http://statistics.data.gov.uk/id/statistical-geography/S01000084,Data Zone S01000084,6392,6199,6105,5720
http://statistics.data.gov.uk/id/statistical-geography/S01000085,Data Zone S01000085,6295,6214,6315,6006
http://statistics.data.gov.uk/id/statistical-geography/S01000086,Data Zone S01000086,6283,6204,6044,4134
http://statistics.data.gov.uk/id/statistical-geography/S01000087,Data Zone S01000087,2640,2929,4278,3118
http://statistics.data.gov.uk/id/statistical-geography/S01000088,Data Zone S01000088,6018,5936,5942,5356
http://statistics.data.gov.uk/id/statistical-geography/S01000089,Data Zone S01000089,1104,1826,2167,1389
http://statistics.data.gov.uk/id/statistical-geography/S01000090,Data Zone S01000090,6116,4367,4965,4857
http://statistics.data.gov.uk/id/statistical-geography/S01000091,Data Zone S01000091,6218,5773,5833,5875
http://statistics.data.gov.uk/id/statistical-geography/S01000092,Data Zone S01000092,6429,6179,6244,6159
http://statistics.data.gov.uk/id/statistical-geography/S01000093,Data Zone S01000093,5946,5938,5457,5014
http://statistics.data.gov.uk/id/statistical-geography/S01000094,Data Zone S01000094,6413,6152,6114,6255
http://statistics.data.gov.uk/id/statistical-geography/S01000095,Data Zone S01000095,6422,5541,6120,6304
http://statistics.data.gov.uk/id/statistical-geography/S01000096,Data Zone S01000096,2217,1594,1958,1958
http://statistics.data.gov.uk/id/statistical-geography/S01000097,Data Zone S01000097,5758,4822,5325,3920
http://statistics.data.gov.uk/id/statistical-geography/S01000098,Data Zone S01000098,6188,5797,4970,5639
http://statistics.data.gov.uk/id/statistical-geography/S01000099,Data Zone S01000099,2422,2794,2634,2333
http://statistics.data.gov.uk/id/statistical-geography/S01000100,Data Zone S01000100,6263,5959,5732,5937
http://statistics.data.gov.uk/id/statistical-geography/S01000101,Data Zone S01000101,6385,6113,5870,5787
http://statistics.data.gov.uk/id/statistical-geography/S01000102,Data Zone S01000102,6403,6409,6135,6350
http://statistics.data.gov.uk/id/statistical-geography/S01000103,Data Zone S01000103,6331,6364,6313,6431
http://statistics.data.gov.uk/id/statistical-geography/S01000104,Data Zone S01000104,2792,2787,2558,2102
http://statistics.data.gov.uk/id/statistical-geography/S01000105,Data Zone S01000105,1638,2009,1783,1408
http://statistics.data.gov.uk/id/statistical-geography/S01000106,Data Zone S01000106,5349,4121,4364,2914
http://statistics.data.gov.uk/id/statistical-geography/S01000107,Data Zone S01000107,5688,5924,5753,6057
http://statistics.data.gov.uk/id/statistical-geography/S01000108,Data Zone S01000108,3254,3563,3060,3437
http://statistics.data.gov.uk/id/statistical-geography/S01000109,Data Zone S01000109,6347,6425,6039,6079
http://statistics.data.gov.uk/id/statistical-geography/S01000110,Data Zone S01000110,2342,4198,3538,2950
http://statistics.data.gov.uk/id/statistical-geography/S01000111,Data Zone S01000111,6202,5587,5180,5194
http://statistics.data.gov.uk/id/statistical-geography/S01000112,Data Zone S01000112,6373,6383,5885,6109
http://statistics.data.gov.uk/id/statistical-geography/S01000113,Data Zone S01000113,6393,4932,4811,5022
http://statistics.data.gov.uk/id/statistical-geography/S01000114,Data Zone S01000114,2887,2682,2624,2320
http://statistics.data.gov.uk/id/statistical-geography/S01000115,Data Zone S01000115,4601,4559,4099,4339
http://statistics.data.gov.uk/id/statistical-geography/S01000116,Data Zone S01000116,6381,6406,6151,6176
http://statistics.data.gov.uk/id/statistical-geography/S01000117,Data Zone S01000117,5559,4185,4168,4249
http://statistics.data.gov.uk/id/statistical-geography/S01000118,Data Zone S01000118,4401,5516,4977,5346
http://statistics.data.gov.uk/id/statistical-geography/S01000119,Data Zone S01000119,6485,6488,6075,6333
http://statistics.data.gov.uk/id/statistical-geography/S01000120,Data Zone S01000120,6252,6120,6091,5055
http://statistics.data.gov.uk/id/statistical-geography/S01000121,Data Zone S01000121,4116,4042,3522,3592
http://statistics.data.gov.uk/id/statistical-geography/S01000122,Data Zone S01000122,2703,2350,2787,2109
http://statistics.data.gov.uk/id/statistical-geography/S01000123,Data Zone S01000123,930,1421,1296,1268
http://statistics.data.gov.uk/id/statistical-geography/S01000124,Data Zone S01000124,6476,6435,5933,6221
http://statistics.data.gov.uk/id/statistical-geography/S01000125,Data Zone S01000125,6198,5875,5557,5819
http://statistics.data.gov.uk/id/statistical-geography/S01000126,Data Zone S01000126,5812,5704,5285,5519
http://statistics.data.gov.uk/id/statistical-geography/S01000127,Data Zone S01000127,5540,5000,4935,4520
http://statistics.data.gov.uk/id/statistical-geography/S01000128,Data Zone S01000128,6371,6272,5831,6149
http://statistics.data.gov.uk/id/statistical-geography/S01000129,Data Zone S01000129,6235,6325,5522,6078
