area,2006,2009,2012
S01001023,5632,4556,3714
S01001024,4082,3671,3366
S01001025,5213,3794,4280
S01001026,5229,5944,4596
S01001027,713,989,1723
S01001028,664,1092,2137
S01001029,525,905,1319
S01001030,5062,5823,4082
S01001031,2848,4465,2600
S01001032,601,735,1306
S01001033,440,275,2118
S01001034,99,292,411
S01001035,1030,1167,3002
S01001036,2370,1256,1583
S01001037,200,469,820
S01001038,5152,4554,5089
S01001039,6208,5208,4519
S01001040,6333,6235,5830
S01001041,2858,3757,2328
S01001042,6374,6096,6457
S01001043,6022,3713,5070
S01001044,5082,6161,5331
S01001045,6040,5001,6171
S01001046,4219,2780,3947
S01001047,6115,4486,6036
S01001048,2453,1656,6063
S01001049,2362,2950,3113
S01001050,6280,6023,6296
S01001051,3823,3753,3444
S01001052,5666,3306,3186
S01001053,3484,3808,2934
S01001054,2097,2791,3024
S01001055,2165,3076,980
S01001056,3674,3895,3166
S01001057,6281,5057,6157
S01001058,1205,2851,1300
S01001059,1025,2280,2573
S01001060,5241,4074,5093
S01001061,4247,5972,5654
S01001062,5335,4425,6074
S01001063,5991,6251,5080
S01001064,4193,3223,4834
S01001065,5942,4994,4493
S01001066,6210,6083,6356
S01001067,6328,5134,5646
S01001068,5425,4510,5351
S01001069,5487,4154,3517
S01001070,5814,5323,3912
S01001071,5735,4191,6181
S01001072,5302,1712,3851
S01001073,4568,2432,3177
S01001074,6433,6342,6055
S01001075,6104,4720,4222
S01001076,6144,5745,5838
S01001077,4769,2060,3598
S01001078,5619,3047,4072
S01001079,6493,6021,3149
S01001080,4592,3947,4062
S01001081,5252,6034,5832
S01001082,2170,3025,2481
S01001083,1963,2384,3074
S01001084,5502,4920,3895
S01001085,3675,5075,4107
S01001086,1003,868,511
S01001087,2564,4264,2064
S01001088,2718,1516,1553
S01001089,3457,2040,3795
S01001090,3572,4830,4181
S01001091,5872,4057,4168
S01001092,4627,3822,3244
S01001093,5616,3874,4408
S01001094,4311,4397,3770
S01001095,1728,1956,1939
S01001096,3422,3523,2472
S01001097,3427,5756,5287
S01001098,5042,5687,5836
S01001099,656,1412,1166
S01001100,3994,3894,4131
S01001101,7,10,14
S01001102,1617,1266,950
S01001103,5118,5500,6093
S01001104,2092,1018,2676
S01001105,4857,4347,4690
S01001106,2758,2121,3123
S01001107,3570,2859,2591
S01001108,271,247,698
S01001109,1082,1137,1999
S01001110,1780,1657,1916
S01001111,1298,1746,2417
S01001112,2199,3690,1555
S01001113,108,76,64
S01001114,1319,423,440
S01001115,2293,3549,4633
S01001116,4628,5088,5060
S01001117,288,1027,824
S01001118,3321,4237,2419
S01001119,2187,2543,2111
S01001120,3056,4070,3967
S01001121,1637,2103,680
S01001122,3258,621,2113
S01001123,5053,1595,2184
S01001124,4561,3891,4762
S01001125,1871,2558,3014
S01001126,4449,4981,6027
S01001127,2280,3493,2562
S01001128,5220,5860,6487
S01001129,3247,2043,1658
S01001130,3830,2837,3985
S01001131,73,2010,2431
S01001132,4712,3305,3293
S01001133,4262,4285,3507
S01001134,4239,3605,5326
S01001135,1262,1172,333
S01001136,255,785,654
S01001137,906,1539,866
S01001138,1368,1086,81
S01001139,3806,5858,4258
S01001140,4812,4933,3128
S01001141,1063,2925,1734
S01001142,5497,4753,5712
S01001143,5775,5004,5252
S01001144,3057,1799,1261
S01001145,5963,3256,4649
S01001146,4143,2466,2416
S01001147,872,731,642
S01001148,3472,4246,4876
S01001149,1772,2647,2798
S01001150,383,1444,251
S01001151,1962,1980,278
S01001152,4271,2207,3717
S01001153,5006,3285,2101
S01001154,5380,4875,5598
S01001155,3487,6119,5253
S01001156,551,555,377
S01001157,4904,5028,5290
S01001158,6086,4500,5360
S01001159,5919,5961,5905
S01001160,5339,3883,4966
S01001161,3222,2632,1828
S01001162,3349,2888,910
S01001163,497,1313,903
S01001164,5232,1154,847
S01001165,1039,799,340
S01001166,2616,3011,1227
S01001167,5661,4618,4433
S01001168,1827,1116,341
S01001169,957,722,298
S01001170,2081,1538,906
S01001171,1075,449,591
S01001172,517,368,147
S01001173,1928,2557,1680
S01001174,162,336,90
S01001175,528,781,528
S01001176,143,463,552
S01001177,2554,2582,1470
S01001178,2349,2086,3343
S01001179,4724,4467,4941
S01001180,2143,2001,1160
S01001181,6228,6414,5752
S01001182,687,987,1206
S01001183,2640,2843,1370
S01001184,2588,3248,639
S01001185,6440,5793,6390
S01001186,3851,4734,3124
S01001187,2104,1795,2086
S01001188,2418,3272,1161
S01001189,5613,4889,3654
S01001190,4921,6398,6188
S01001191,1398,858,756
S01001192,1420,1093,1107
S01001193,4527,3596,1876
S01001194,5982,6476,6147
S01001195,3682,4350,2761
S01001196,3085,3559,2331
S01001197,4016,2865,3195
S01001198,2947,1221,2096
S01001199,926,1361,2021
S01001200,290,232,192
S01001201,2993,2920,2509
S01001202,2544,1083,792
S01001203,1054,1620,583
S01001204,3577,5803,6341
S01001205,4246,2753,3650
S01001206,3470,4144,2557
S01001207,1861,3152,2022
S01001208,523,904,757
S01001209,2512,4758,2080
S01001210,2108,2256,1742
S01001211,3732,5152,5236
S01001212,1037,1349,651
S01001213,1440,669,181
S01001214,2986,5283,5422
S01001215,3178,2840,2079
S01001216,2387,1650,2091
S01001217,742,893,414
S01001218,6343,6233,6453
S01001219,5482,6026,5996
S01001220,2778,1316,1875
S01001221,2900,3090,3634
S01001222,301,654,635
S01001223,2898,3125,3845
S01001224,1251,672,422
S01001225,3749,5164,3982
S01001226,152,202,186
S01001227,1950,1560,1005
S01001228,1810,2691,3372
S01001229,2908,3286,2922
S01001230,970,304,348
S01001231,3980,4438,2151
S01001232,6359,6320,6194
S01001233,834,1748,1580
S01001234,3890,4638,3006
S01001235,1097,2601,1547
S01001236,820,1864,1843
S01001237,2586,2608,1422
S01001238,1038,766,468
S01001239,363,150,61
S01001240,1450,4170,3750
S01001241,569,1597,834
S01001242,4404,4261,4090
S01001243,2204,1736,1478
S01001244,2739,3146,2436
S01001245,706,509,478
S01001246,3544,2704,1285
S01001247,1431,2153,1636
S01001248,5621,6151,6360
S01001249,3283,3299,2046
S01001250,1769,3036,2747
S01001251,542,846,470
S01001252,3052,3930,2894
S01001253,678,367,548
S01001254,3340,1895,2001
S01001255,1498,2301,1384
S01001256,3643,1510,1957
S01001257,2458,2132,1581
S01001258,1196,830,2161
S01001259,3766,3379,2316
S01001260,1410,1489,1517
S01001261,1670,2192,1523
S01001262,2831,5261,5492
S01001263,5581,5865,2056
S01001264,1916,2702,2784
S01001265,6068,6452,6127
S01001266,5538,6002,5556
S01001267,2930,4291,2986
S01001268,3282,4216,3880
S01001269,3809,3354,3342
S01001270,1170,1707,881
S01001271,2364,1825,994
S01001272,1009,3693,2469
S01001273,3023,4742,2120
S01001274,1511,3740,3574
S01001275,3516,2634,3183
S01001276,4822,5403,3936
S01001277,2232,2291,3524
S01001278,4590,5221,5443
S01001279,1345,2967,934
S01001280,3244,3364,2496
S01001281,4543,4399,3004
S01001282,4209,3583,3608
S01001283,1444,1758,2941
S01001284,3592,5065,5375
S01001285,4428,4658,3337
S01001286,5877,5939,4984
S01001287,2966,4549,3029
S01001288,3455,3640,2398
S01001289,2026,857,1932
S01001290,5236,4155,5865
S01001291,3034,5005,4982
S01001292,1996,1264,3405
S01001293,1970,2047,3265
S01001294,680,553,920
S01001295,1800,2021,2098
S01001296,455,1861,1122
S01001297,1479,2481,688
S01001298,323,197,247
S01001299,1221,2183,1800
S01001300,3669,3821,2793
S01001301,618,981,1341
S01001302,3747,5393,6223
S01001303,5646,5052,5118
S01001304,6408,6433,3009
S01001305,4779,4404,3288
S01001306,1906,1740,2439
S01001307,839,1417,1946
S01001308,2971,2368,1600
S01001309,1557,712,329
S01001310,1867,1036,481
S01001311,2690,5040,3891
S01001312,944,680,587
S01001313,2363,2355,2169
S01001314,3503,4682,4932
S01001315,5671,4780,5269
S01001316,1945,1410,3111
S01001317,3981,5818,3040
S01001318,2539,1858,1971
S01001319,2795,2284,1280
S01001320,2035,4101,1689
S01001321,3624,4606,3298
S01001322,3842,3232,3922
S01001323,1435,3772,2672
S01001324,806,1534,497
S01001325,1218,1246,1328
S01001326,4729,4093,4086
S01001327,1389,3496,1298
S01001328,641,1279,1628
S01001329,4040,2501,2810
S01001330,5601,4747,6271
S01001331,2942,2079,2714
S01001332,3417,4202,2685
S01001333,761,1458,2648
S01001334,2283,3261,4201
S01001335,1922,3209,2034
S01001336,3949,4584,4885
S01001337,5759,4941,4878
S01001338,406,1792,1514
S01001339,2571,1546,3453
S01001340,2323,4396,4444
S01001341,3717,3343,3161
S01001342,695,930,2844
S01001343,3903,3122,2856
S01001344,6258,5363,6086
S01001345,1305,410,1338
S01001346,6063,4961,4722
S01001347,5413,5716,6349
S01001348,137,58,171
S01001349,269,283,1268
S01001350,3077,898,1414
S01001351,3661,3933,2688
S01001352,2250,2533,3090
S01001353,5916,5980,3479
S01001354,2869,675,211
S01001355,3471,3758,2224
S01001356,3464,1492,4043
S01001357,1815,1532,1301
S01001358,3540,4124,4424
S01001359,4327,2677,3469
S01001360,2705,3222,4047
S01001361,3234,2748,3637
S01001362,5340,5047,5433
S01001363,1697,881,1223
S01001364,2838,1571,1651
S01001365,4045,3755,3051
S01001366,4699,3064,4893
S01001367,5848,3769,4410
S01001368,5227,4204,3099
S01001369,5467,4198,3007
S01001370,670,656,245
S01001371,369,983,499
S01001372,6409,6076,6436
S01001373,3979,3315,3674
S01001374,6438,5832,4547
S01001375,5344,5570,5300
S01001376,17,13,9
S01001377,3088,1449,3373
S01001378,3466,4312,3266
S01001379,4512,2387,3222
S01001380,4521,3879,3621
S01001381,1967,2541,1439
S01001382,580,438,54
S01001383,1208,1188,294
S01001384,3279,2072,956
S01001385,2369,2857,2057
S01001386,94,181,68
S01001387,4562,3269,1743
S01001388,567,178,302
S01001389,4452,4701,2864
S01001390,4156,3287,3092
S01001391,3286,1843,2223
S01001392,776,934,1635
S01001393,1948,1599,3715
S01001394,61,17,86
S01001395,4025,3867,1270
S01001396,3004,3389,2778
S01001397,223,168,156
S01001398,4913,4659,6237
S01001399,464,574,361
S01001400,1689,1940,2408
S01001401,3807,3341,4156
S01001402,5908,6078,6363
S01001403,6076,5533,5944
S01001404,6332,6257,5984
S01001405,4976,3960,5789
S01001406,5553,4939,5288
S01001407,5410,4190,3642
S01001408,2694,2461,3026
S01001409,1614,3590,5131
S01001410,5771,4857,5139
S01001411,6044,5339,5846
S01001412,2118,3277,2661
S01001413,6152,5590,6187
S01001414,5150,3211,3295
S01001415,1066,433,1334
S01001416,4114,2955,5745
S01001417,5756,5658,6019
S01001418,5525,6067,5474
S01001419,5423,6090,3641
S01001420,4852,5639,5437
S01001421,4735,3889,3833
S01001422,5937,5731,5282
S01001423,2789,3383,3472
S01001424,2179,2083,1115
S01001425,2357,3884,3341
S01001426,2874,4283,3872
S01001427,4159,5742,3877
S01001428,3117,3764,3700
S01001429,3509,1244,2524
S01001430,1399,3038,1249
S01001431,5031,5245,4627
S01001432,5388,5787,4504
S01001433,5640,5355,4618
S01001434,3564,4452,5162
S01001435,5320,4386,5809
S01001436,3460,4799,5004
S01001437,2333,4188,3175
S01001438,3216,5941,6416
S01001439,3651,6401,5256
S01001440,4583,3052,4091
S01001441,3458,2286,2987
S01001442,4228,5415,5578
S01001443,3942,3043,3331
S01001444,5802,4343,5652
S01001445,1509,4610,3613
S01001446,4498,5206,4495
S01001447,3273,5738,5232
S01001448,4951,4318,5372
S01001449,3334,5882,4521
S01001450,5710,4640,5671
S01001451,3231,4899,4817
S01001452,3873,4069,4358
S01001453,6274,6280,6366
S01001454,3623,3925,3928
S01001455,5519,5050,4751
S01001456,6079,5912,5188
S01001457,5504,4963,5210
S01001458,4815,5513,5038
S01001459,3906,5820,3398
S01001460,5956,5370,5400
S01001461,5313,6177,5964
S01001462,4379,4673,4733
S01001463,1896,1006,530
S01001464,3574,5637,5057
S01001465,3379,4642,2448
S01001466,5990,6405,6207
S01001467,5604,6419,6451
S01001468,2988,4010,3394
S01001469,5781,5602,5471
S01001470,5022,3294,4006
S01001471,3633,5402,4146
S01001472,6199,5351,4391
S01001473,3412,1664,4161
S01001474,490,4213,5228
S01001475,5568,5255,6316
S01001476,5653,5321,5207
S01001477,6001,5819,6306
S01001478,5178,4965,5916
S01001479,4495,3069,3039
S01001480,5986,5085,1643
S01001481,5842,6093,6370
S01001482,1878,1904,3408
S01001483,4371,4704,5410
S01001484,5597,5346,5631
S01001485,5368,5698,5318
S01001486,4905,5073,5796
S01001487,3042,3711,2725
S01001488,5772,5943,5533
S01001489,5590,5092,5330
S01001490,2268,1463,1098
S01001491,5515,6015,5413
S01001492,2125,4444,3490
S01001493,2028,3876,2502
S01001494,2877,2952,1859
S01001495,5731,5391,6072
S01001496,5936,4748,5222
S01001497,2658,2034,758
S01001498,5706,5589,5198
S01001499,4035,4966,3041
S01001500,1215,1021,927
S01001501,5440,5700,5406
S01001502,4565,3230,2681
S01001503,6091,4430,3815
S01001504,2910,2152,1534
S01001505,5752,5613,6189
S01001506,256,979,400
S01001507,6302,6118,5662
S01001508,4860,4873,3710
S01001509,989,2727,728
S01001510,505,309,383
S01001511,5507,6248,6256
S01001512,971,476,562
S01001513,175,392,460
S01001514,5516,3161,2597
S01001515,5250,5563,5184
S01001516,3190,2076,1985
S01001517,1240,1481,2011
S01001518,2301,2323,3232
S01001519,5089,5797,4684
S01001520,4206,2786,958
S01001521,4643,4145,3980
S01001522,4061,2470,1683
S01001523,5737,5960,6369
S01001524,3821,3226,2276
S01001525,5680,5524,4204
S01001526,3776,4529,3892
S01001527,3476,4573,2772
S01001528,3604,6025,5748
S01001529,3972,3407,4518
S01001530,3089,1977,3908
S01001531,683,2030,1209
S01001532,4509,5326,3978
S01001533,6365,5188,5537
S01001534,3000,3922,4537
S01001535,5506,5551,6029
S01001536,3119,2476,2274
S01001537,1464,2572,2012
S01001538,4419,3460,4998
S01001539,4984,4249,5783
S01001540,3688,3374,5515
S01001541,5384,6149,5168
S01001542,5200,5375,6330
S01001543,4187,4932,4239
S01001544,3099,2864,3751
S01001545,4751,6326,5633
S01001546,430,1475,318
S01001547,2315,2759,1783
S01001548,5369,5796,4328
S01001549,2741,4773,4529
S01001550,5813,5983,6216
S01001551,4754,4494,5429
S01001552,4597,4607,3918
S01001553,6420,5659,6380
S01001554,6031,5895,5659
S01001555,2804,3259,2148
S01001556,3762,4792,3212
S01001557,6172,6478,5531
S01001558,4076,4786,4664
S01001559,5938,3886,5018
S01001560,1486,2332,2346
S01001561,3169,3819,3091
S01001562,5332,5552,4546
S01001563,5428,4450,4728
S01001564,5475,4944,5243
S01001565,2888,3587,1906
S01001566,5192,4394,4580
S01001567,5880,6301,5271
S01001568,2079,3577,3227
S01001569,6153,4628,5062
S01001570,6329,6348,5760
S01001571,2439,2951,1524
S01001572,4714,5638,3989
S01001573,6270,5012,5561
S01001574,2285,3037,3082
S01001575,562,1627,1713
S01001576,5905,2695,3767
S01001577,3272,4519,2083
S01001578,5145,5358,5713
S01001579,2513,3165,2930
S01001580,4573,3943,3695
S01001581,5336,6182,5202
S01001582,3482,2402,1830
S01001583,1908,4290,4741
S01001584,1565,1833,2300
S01001585,1865,2383,2225
S01001586,5049,5209,4927
S01001587,1531,2313,589
S01001588,1680,2518,4413
S01001589,2945,4621,830
S01001590,2290,2487,1563
S01001591,2621,4309,2230
S01001592,686,739,490
S01001593,955,939,1042
S01001594,483,880,146
S01001595,809,61,419
S01001596,1901,4717,5043
S01001597,749,491,218
S01001598,3218,2903,3757
S01001599,2542,2772,1566
S01001600,2351,3507,3028
S01001601,5770,5940,6102
S01001602,2570,4378,4083
S01001603,1249,2242,1359
S01001604,2501,1307,290
S01001605,3083,5893,4376
S01001606,1690,2429,1467
S01001607,1729,2564,2322
S01001608,5760,4089,4749
S01001609,3326,4634,5142
S01001610,1739,657,316
S01001611,5318,5605,5630
S01001612,6319,5705,6227
S01001613,1492,1183,406
S01001614,1725,584,882
S01001615,2480,2042,2426
S01001616,4000,5049,6345
S01001617,1975,3939,1762
S01001618,4456,3546,3830
S01001619,2073,2428,4114
S01001620,1556,2365,984
S01001621,2892,5181,5472
S01001622,1957,727,1203
S01001623,4794,4420,5751
S01001624,5217,4359,3796
S01001625,847,1685,1744
S01001626,3043,2626,3593
S01001627,2241,2423,2727
S01001628,1005,2231,477
S01001629,3253,4725,3022
S01001630,401,446,139
S01001631,2770,3001,2579
S01001632,5742,4842,6412
S01001633,5081,6186,6143
S01001634,5637,5788,5872
S01001635,3468,5780,5611
S01001636,5381,5627,6386
S01001637,5408,3931,2270
S01001638,1779,3707,2452
S01001639,1587,1122,2459
S01001640,5119,6275,5901
S01001641,5926,4148,4881
S01001642,4295,4061,4475
S01001643,6195,4987,3718
S01001644,5841,5897,6129
S01001645,4608,3331,1059
S01001646,6060,4201,4313
S01001647,5033,5099,4489
S01001648,6062,3148,2074
S01001649,4576,2033,2504
S01001650,4231,4166,2549
S01001651,3944,4321,2632
S01001652,6464,6125,6354
S01001653,576,1034,1480
S01001654,6399,5411,6172
S01001655,5576,6072,5328
S01001656,5729,6031,4515
S01001657,6493,6446,5105
S01001658,6356,5511,4712
S01001659,6449,5675,6487
S01001660,6130,4750,4240
S01001661,6350,5642,5125
S01001662,5491,5418,4439
S01001663,5295,3712,3999
S01001664,4900,5341,6402
S01001665,4647,5748,5626
S01001666,3870,3466,4561
S01001667,4764,3899,5260
S01001668,2884,4362,2802
S01001669,4067,2807,3322
S01001670,5815,6395,5215
S01001671,6012,6039,6240
S01001672,2527,5144,3218
S01001673,4638,5625,5233
S01001674,4593,5235,4563
S01001675,5854,6451,5934
S01001676,4746,5395,4658
S01001677,6193,5933,5510
S01001678,5055,5461,4759
S01001679,6142,5870,5947
S01001680,6108,5862,5588
S01001681,4756,5679,5284
S01001682,6196,6260,6302
S01001683,5357,5554,5721
S01001684,6391,5428,4567
S01001685,4312,4956,4918
S01001686,4366,5104,4788
S01001687,3685,3718,5116
S01001688,5363,4598,5880
S01001689,5631,5247,3736
S01001690,3527,5481,4113
S01001691,4836,5174,4677
S01001692,2009,1537,1727
S01001693,5379,5487,5844
S01001694,5004,5786,5102
S01001695,6047,5630,5926
S01001696,4941,4546,4438
S01001697,2921,3593,3672
S01001698,5058,4034,5735
S01001699,6310,6493,6340
S01001700,2865,5827,5295
S01001701,4733,5311,3938
S01001702,3486,3921,3509
S01001703,3101,5491,5570
S01001704,5417,5433,4290
S01001705,6353,6443,5656
S01001706,4248,5430,5912
S01001707,1047,3424,2015
S01001708,4440,5015,4780
S01001709,4086,4227,5485
S01001710,2347,3521,3344
S01001711,6321,6213,6054
S01001712,5263,5965,5675
S01001713,2726,4078,5771
S01001714,3168,4890,5496
S01001715,3710,4599,5873
S01001716,3038,2168,702
S01001717,6245,5237,5418
S01001718,4399,4669,3805
S01001719,5874,5696,5519
S01001720,3009,3464,1779
S01001721,5103,3657,5720
S01001722,3638,4413,3162
S01001723,5669,4251,4700
S01001724,1589,1231,885
S01001725,4222,3198,3011
S01001726,5744,5287,5346
S01001727,2468,1737,3694
S01001728,5582,6001,5994
S01001729,4828,4395,3917
S01001730,3826,6000,5579
S01001731,3691,1287,3698
S01001732,1912,3095,4557
S01001733,3607,3729,3464
S01001734,5139,6030,5767
S01001735,4422,3522,4500
S01001736,4674,5686,4220
S01001737,6106,5709,6078
S01001738,6003,6236,5861
S01001739,5838,5387,3839
S01001740,4497,4960,4645
S01001741,1044,3067,2812
S01001742,690,1929,1087
S01001743,1051,2082,1485
S01001744,2821,2946,3857
S01001745,4924,4566,3768
S01001746,4557,5427,5263
S01001747,2011,3505,2264
S01001748,5269,4883,4265
S01001749,3314,4234,3707
S01001750,2113,2778,3482
S01001751,1418,1589,3181
S01001752,4775,5666,4917
S01001753,1273,2484,2555
S01001754,4039,5476,4252
S01001755,4225,3314,3590
S01001756,5600,5634,5699
S01001757,3367,3296,3773
S01001758,2267,2594,2082
S01001759,563,588,537
S01001760,1375,1535,2580
S01001761,669,607,306
S01001762,3608,3555,2762
S01001763,5591,4560,5521
S01001764,4438,6156,5981
S01001765,1527,1660,1134
S01001766,2669,4295,4027
S01001767,3046,4691,5479
S01001768,3423,2639,4772
S01001769,4816,5707,6305
S01001770,257,498,766
S01001771,3090,2107,3540
S01001772,4108,2526,4534
S01001773,2620,3262,2559
S01001774,4541,5157,5399
S01001775,5768,4525,5997
S01001776,2754,3191,4219
S01001777,4881,5271,4365
S01001778,1204,524,909
S01001779,4284,5303,6022
S01001780,1798,1402,676
S01001781,4485,5215,5810
S01001782,3941,5076,4002
S01001783,701,539,288
S01001784,3929,4755,4740
S01001785,4310,5782,6282
S01001786,5124,6193,6004
S01001787,5414,4635,4953
S01001788,6081,6232,6448
S01001789,1502,2052,1698
S01001790,5758,6456,5975
S01001791,5495,5621,6487
S01001792,5329,5656,4748
S01001793,2392,3666,3575
S01001794,3892,4523,5362
S01001795,4873,4199,4456
S01001796,6324,6106,5254
S01001797,5562,4449,4758
S01001798,5542,5158,4971
S01001799,626,1065,975
S01001800,6291,6129,5754
S01001801,5153,5759,5325
S01001802,3585,5529,4610
S01001803,5696,5699,4747
S01001804,4014,3092,3245
S01001805,2727,2057,3168
S01001806,2903,1360,2447
S01001807,2806,2327,3483
S01001808,359,227,853
S01001809,833,1028,1269
S01001810,2324,2846,3933
S01001811,4653,5800,6148
S01001812,5812,6358,6372
S01001813,4101,6068,6177
S01001814,4967,4927,4624
S01001815,5718,5120,3730
S01001816,6184,6195,5239
S01001817,2454,2542,850
S01001818,5670,6066,6211
S01001819,5412,6254,5427
S01001820,1688,693,671
S01001821,3829,4041,3681
S01001822,4148,4630,3096
S01001823,118,145,593
S01001824,4210,3018,4818
S01001825,4152,4493,4136
S01001826,697,908,1400
S01001827,1752,1583,1821
S01001828,6234,5813,6232
S01001829,3478,3642,3849
S01001830,4226,4478,4670
S01001831,3118,3615,3528
S01001832,1452,3475,540
S01001833,4863,4974,5945
S01001834,4283,5829,4210
S01001835,5350,6294,4928
S01001836,4123,3847,3526
S01001837,2388,4718,4034
S01001838,4388,3871,2980
S01001839,634,884,401
S01001840,5307,6290,3329
S01001841,2824,1677,5658
S01001842,4265,3937,4120
S01001843,1339,338,1141
S01001844,5003,4816,5452
S01001845,5992,4813,6225
S01001846,5194,5595,5878
S01001847,602,802,1240
S01001848,2255,1312,1799
S01001849,2759,3130,5439
S01001850,4301,4174,3375
S01001851,4630,3783,1591
S01001852,2162,1978,3316
S01001853,4533,4511,5117
S01001854,4591,5643,4729
S01001855,3172,3348,3856
S01001856,1110,1058,1833
S01001857,277,1015,1271
S01001858,3006,3445,3525
S01001859,1114,634,768
S01001860,4999,5805,6150
S01001861,733,1128,63
S01001862,1910,2223,2556
S01001863,3687,5087,2896
S01001864,598,673,800
S01001865,780,303,283
S01001866,4320,3030,5134
S01001867,1687,1070,2933
S01001868,3149,4112,2365
S01001869,3384,5097,2609
S01001870,1158,644,534
S01001871,1287,2710,2974
S01001872,2972,5250,2659
S01001873,4603,4824,5071
S01001874,225,345,432
S01001875,5164,5225,5647
S01001876,1985,1774,2207
S01001877,1229,1175,2102
S01001878,4099,4946,4420
S01001879,1091,384,236
S01001880,78,41,152
S01001881,3662,3970,4352
S01001882,1092,1752,873
S01001883,4004,6441,5900
S01001884,2002,504,1992
S01001885,4256,5301,5703
S01001886,1767,1841,1894
S01001887,2809,4165,4669
S01001888,3166,5071,4791
S01001889,2698,2362,3384
S01001890,1630,997,1652
S01001891,4095,1831,3034
S01001892,1513,474,991
S01001893,1295,648,397
S01001894,1732,121,457
S01001895,1944,2138,2256
S01001896,5097,4877,4964
S01001897,192,152,136
S01001898,3930,2198,2768
S01001899,2531,1022,1519
S01001900,2096,1983,2401
S01001901,5638,6191,5251
S01001902,5754,4366,6174
S01001903,1192,1089,1168
S01001904,2505,2189,1872
S01001905,4760,5236,5707
S01001906,18,37,20
S01001907,2252,639,1312
S01001908,940,1303,2497
S01001909,304,99,88
S01001910,1588,1220,3609
S01001911,5144,5153,5917
S01001912,826,387,1103
S01001913,3901,3014,5033
S01001914,3376,6131,6094
S01001915,1852,2552,4286
S01001916,4319,2696,4193
S01001917,5717,5479,5494
S01001918,4218,3744,4904
S01001919,3664,2171,2663
S01001920,5761,3661,3475
S01001921,1027,1647,1543
S01001922,3304,3192,3811
S01001923,189,62,1549
S01001924,4483,6308,5293
S01001925,3783,4716,3364
S01001926,156,141,362
S01001927,5753,4407,5348
S01001928,4629,1389,1677
S01001929,6147,6164,5913
S01001930,3103,2459,5358
S01001931,182,1186,1348
S01001932,26,96,89
S01001933,4400,3749,5313
S01001934,919,850,1851
S01001935,1279,183,805
S01001936,5286,5920,4804
S01001937,1022,499,480
S01001938,4337,3841,5225
S01001939,4620,3851,4367
S01001940,6070,6008,5539
S01001941,4953,4668,4797
S01001942,5805,4832,5103
S01001943,512,853,1720
S01001944,4700,4314,4138
S01001945,6065,5653,5709
S01001946,306,516,798
S01001947,3657,5172,5698
S01001948,270,134,191
S01001949,1130,391,3226
S01001950,2316,1235,3093
S01001951,2748,2969,3734
S01001952,5904,5447,5622
S01001953,2632,3034,2699
S01001954,276,124,165
S01001955,2148,244,1595
S01001956,3094,1551,2109
S01001957,279,1367,1138
S01001958,5550,4011,4293
S01001959,2442,3136,872
S01001960,3102,2316,2666
S01001961,5642,4937,4629
S01001962,471,554,1190
S01001963,1706,1733,2997
S01001964,2260,3974,4341
S01001965,2425,470,442
S01001966,305,300,214
S01001967,2142,2737,3606
S01001968,5249,4992,5477
S01001969,5385,2977,3047
S01001970,5683,5438,4244
S01001971,3031,1005,3209
S01001972,4691,4173,5692
S01001973,3462,1809,2247
S01001974,3158,3332,4030
S01001975,3912,3098,3101
S01001976,5113,4997,5335
S01001977,2478,385,1351
S01001978,2194,80,491
S01001979,3566,3628,4461
S01001980,3862,2941,3552
S01001981,2622,2364,4455
S01001982,1118,1098,2292
S01001983,4652,3962,4212
S01001984,5763,1708,4200
S01001985,1145,1296,1695
S01001986,6083,5655,4598
S01001987,3284,3476,4564
S01001988,2123,2065,3190
S01001989,5580,5945,6291
S01001990,4757,3456,5119
S01001991,3713,2131,2444
S01001992,3269,3155,3726
S01001993,3886,3324,4098
S01001994,1103,2701,4383
S01001995,5394,5646,5974
S01001996,5612,3441,4322
S01001997,1938,741,1407
S01001998,4011,2580,2918
S01001999,4414,4688,5741
S01002000,2537,2046,2119
S01002001,4577,4548,5441
S01002002,5135,5227,5155
S01002003,4171,3027,4056
S01002004,4220,2602,3104
S01002005,3233,2186,2063
S01002006,3093,3338,2605
S01002007,4455,3444,4013
S01002008,3323,2273,3984
S01002009,5895,5572,5051
S01002010,3463,4840,4203
S01002011,5288,6014,5753
S01002012,4071,5695,4416
S01002013,2897,2486,2783
S01002014,5272,3423,3816
S01002015,5136,5507,4768
S01002016,3265,5252,4478
S01002017,472,233,945
S01002018,5009,3997,4695
S01002019,4882,4848,5438
S01002020,4985,4096,5181
S01002021,4680,2069,3721
S01002022,2639,3311,863
S01002023,2787,3026,2583
S01002024,4869,5378,6056
S01002025,5061,3840,4170
S01002026,3047,4355,3611
S01002027,4447,1474,2586
S01002028,5211,4462,4421
S01002029,6202,4919,5890
S01002030,4560,4119,3950
S01002031,2271,505,1737
S01002032,5614,4228,5432
S01002033,921,630,1758
S01002034,5156,3607,5467
S01002035,4581,4334,5576
S01002036,3553,861,3696
S01002037,4743,3497,4457
S01002038,4912,3670,3432
S01002039,2469,1404,2381
S01002040,3318,3459,3894
S01002041,3593,4827,3865
S01002042,3584,3168,1362
S01002043,3839,2838,4646
S01002044,3159,925,968
S01002045,5047,1584,2851
S01002046,1351,665,339
S01002047,3241,5365,4205
S01002048,2702,3167,2108
