area,2006,2009,2012
S01000240,4892,3977,2570
S01000241,4759,3825,5590
S01000242,1288,2709,3249
S01000243,5907,6332,5040
S01000244,534,791,1091
S01000245,5045,3982,4705
S01000246,6077,5309,5903
S01000247,6313,6339,6115
S01000248,6043,6370,5127
S01000249,4316,5777,6125
S01000250,1789,2808,1039
S01000251,5906,6493,6097
S01000252,5484,6299,4923
S01000253,5713,5905,5526
S01000254,3465,5633,3870
S01000255,6441,5560,5966
S01000256,4060,4315,3021
S01000257,3098,3566,2821
S01000258,6456,5503,5860
S01000259,5946,6432,6398
S01000260,5468,5205,6461
S01000261,3533,4977,3963
S01000262,3786,3188,2051
S01000263,2528,3956,3346
S01000264,4802,5214,3098
S01000265,4689,3992,2357
S01000266,2289,4298,3422
S01000267,1467,1487,1013
S01000268,3798,3916,2724
S01000269,5892,4516,6326
S01000270,4238,5414,5859
S01000271,3605,3454,4796
S01000272,3752,5663,3788
S01000273,4423,4238,3367
S01000274,3946,4675,4898
S01000275,4198,5419,5063
S01000276,5635,5908,6441
S01000277,3048,2711,1745
S01000278,2535,2356,3044
S01000279,4484,4142,3942
S01000280,3204,6092,5490
S01000281,6067,5360,4949
S01000282,5304,5486,4793
S01000283,4932,6102,5170
S01000284,4200,5440,4975
S01000285,3626,3829,3458
S01000286,2991,3967,3313
S01000287,5195,4945,4122
S01000288,4232,4572,5332
S01000289,4241,4654,3263
S01000290,3671,2954,3010
S01000291,6004,5505,4900
S01000292,3012,2697,2358
S01000293,297,616,782
S01000294,6296,5472,6304
S01000295,6345,5927,6487
S01000296,4089,5067,4562
S01000297,5084,5867,4802
S01000298,3292,5541,4404
S01000299,5185,5562,5999
S01000300,2685,2357,4003
S01000301,4708,3046,4604
S01000302,6116,6435,5746
S01000303,5308,4484,3916
S01000304,6312,5904,6276
S01000305,5373,5133,5983
S01000306,5921,6168,5643
S01000307,5235,6346,6249
S01000308,1125,1420,4237
S01000309,3816,5368,4895
S01000310,5558,5727,5618
S01000311,1307,813,723
S01000312,3827,2683,4351
S01000313,6287,5361,5379
S01000314,5922,6430,6201
S01000315,4552,5145,5716
S01000316,3419,4138,2940
S01000317,5285,5649,3565
S01000318,5785,6150,5804
S01000319,2462,2104,2782
S01000320,5806,4677,4980
S01000321,4972,4815,6220
S01000322,6263,6473,6186
S01000323,5924,5802,6108
S01000324,5176,6247,6350
S01000325,6214,2985,4871
S01000326,2438,3083,4536
S01000327,4920,2879,3296
S01000328,2968,4727,6236
S01000329,1094,4308,4785
S01000330,6119,4801,5219
S01000331,4705,2767,3797
S01000332,1736,2337,1826
S01000333,4032,3649,5209
S01000334,3863,4288,3716
S01000335,5584,6190,5543
S01000336,4073,3276,5388
S01000337,5667,5886,6033
S01000338,5187,6252,4865
S01000339,6148,5790,5370
S01000340,6037,5864,5538
S01000341,5577,5773,6348
S01000342,5294,6073,2890
S01000343,4975,5565,5627
S01000344,6476,5946,5205
S01000345,4203,5306,4106
S01000346,2602,2963,3318
S01000347,5918,5715,6068
S01000348,5521,4231,5599
S01000349,3164,4419,5340
S01000350,5233,6202,5908
S01000351,2491,2503,4029
S01000352,6128,6379,6122
S01000353,5226,5986,6405
S01000354,5116,4589,5435
S01000355,6493,6006,6279
S01000356,6009,5490,6431
S01000357,6273,6016,6487
S01000358,6078,6334,6458
S01000359,6236,6471,6444
S01000360,5279,6305,5882
S01000361,6381,5922,6315
S01000362,5477,3498,4807
S01000363,5390,6373,6342
S01000364,6247,6340,5769
S01000365,5634,5713,4921
S01000366,4875,5100,5387
S01000367,6168,5836,5000
S01000368,2546,4193,4838
S01000369,5140,5264,5090
S01000370,5322,4790,5031
S01000371,3123,3597,3789
S01000372,2475,4456,2476
S01000373,5021,4588,3953
S01000374,5403,4706,6111
S01000375,5651,4346,4761
S01000376,2300,3774,4074
S01000377,2645,5308,4555
S01000378,890,3084,2994
S01000379,6156,5618,5545
S01000380,5040,4071,5764
S01000381,5677,5794,5827
S01000382,5945,6493,6023
S01000383,6107,6399,5248
S01000384,4578,5798,4644
S01000385,5060,5918,4989
S01000386,3147,2479,2077
S01000387,4275,4847,4615
S01000388,5662,5678,5221
S01000389,5510,6042,4144
S01000390,2044,3162,3440
S01000391,3998,4822,4312
S01000392,3818,4915,4417
S01000393,3857,4126,2944
S01000394,4376,3761,4157
S01000395,6169,5423,6328
S01000396,3782,2906,4808
S01000397,5747,6010,5553
S01000398,2344,4751,5303
S01000399,149,140,70
S01000400,1869,2391,1199
S01000401,6279,6323,6445
S01000402,4824,3734,5350
S01000403,1628,3485,3625
S01000404,4623,4657,5928
S01000405,6352,5176,4010
S01000406,3515,3116,3107
S01000407,4580,5038,4816
S01000408,6276,6032,6314
S01000409,6257,6101,5369
S01000410,5774,6216,5807
S01000411,4662,4305,4973
S01000412,5171,6174,5536
S01000413,5740,4763,4327
S01000414,5885,5446,4721
S01000415,4916,5493,5815
S01000416,5407,4860,4825
S01000417,4996,6160,5298
S01000418,5741,5404,6432
S01000419,2675,3784,5120
S01000420,3403,4888,4993
S01000421,6394,6372,4986
S01000422,3915,2520,4277
S01000423,6382,6366,6175
S01000424,5522,4778,5283
S01000425,6122,6203,5645
S01000426,5873,6005,5412
S01000427,5674,6081,5744
S01000428,5811,5013,5361
S01000429,4345,5474,6099
S01000430,5170,5883,5506
S01000431,945,1216,1140
S01000432,4091,5315,2958
S01000433,3988,3356,3924
S01000434,4888,4921,3889
S01000435,5016,6261,5896
S01000436,6378,6493,6020
S01000437,5739,6091,5686
S01000438,6209,6493,6332
S01000439,5547,5143,4640
S01000440,5246,6173,5067
S01000441,3530,4502,5333
S01000442,5595,5620,6139
S01000443,5783,6304,6384
S01000444,4667,4593,4857
S01000445,4545,4416,4465
S01000446,5008,4545,5383
S01000447,6326,5553,6050
S01000448,6187,5557,5660
S01000449,4280,5725,3333
S01000450,5054,6493,6238
S01000451,5664,5899,4957
S01000452,6087,5146,5153
S01000453,6367,6493,6203
S01000454,3939,6408,4743
S01000455,3029,3589,3402
S01000456,4499,5080,3821
S01000457,3212,2489,4049
S01000458,6230,5525,6124
S01000459,1469,2532,3500
S01000460,3580,4473,2327
S01000461,1433,3966,2731
S01000462,4588,4341,3794
S01000463,3828,1807,2380
S01000464,5925,5847,4830
S01000465,2577,5082,5808
S01000466,6473,6020,5955
S01000467,2803,4434,3732
S01000468,6232,5142,5749
S01000469,6019,6347,6065
S01000470,3663,4079,3867
S01000471,6050,5938,4015
S01000472,2129,4836,3731
S01000473,2318,4046,2136
S01000474,6452,4984,5857
S01000475,3161,2956,2399
S01000476,5790,6187,4589
S01000477,3567,3487,4356
S01000478,2448,2508,1339
S01000479,1737,2408,2847
S01000480,5870,5775,5910
S01000481,3811,4082,2392
S01000482,891,689,601
S01000483,2466,1469,842
S01000484,591,334,213
S01000485,5398,6276,5534
S01000486,35,23,17
S01000487,2424,2496,462
S01000488,3274,5464,4264
S01000489,1087,821,447
S01000490,3517,5288,4261
S01000491,737,824,433
